Individual	WeeksSinceStart	distFromPrevious
CUB000	0.5	0.576553382
CUB000	1	0.655500524
CUB000	2	0.403266815
CUB000	3	0.141495537
CUB000	5	0.213024077
CUB000	6	0.166271138
CUB000	7	0.228858845
CUB000	8	0.296922124
CUB003	0.5	0.759003106
CUB003	1	0.540193223
CUB003	2	0.588512923
CUB003	3	0.30787106
CUB003	4	0.269559821
CUB003	5	0.172990003
CUB003	6	0.183548683
CUB003	7	0.434071595
CUB003	8	0.588640971
CUB004	0.5	0.240712257
CUB004	1	0.185037109
CUB004	2	0.277794428
CUB004	3	0.303020447
CUB004	4	0.290873838
CUB004	5	0.201704063
CUB004	6	0.189044723
CUB004	7	0.110908841
CUB004	8	0.155443104
CUB007	1	0.655597617
CUB007	2	0.151296274
CUB007	3	0.107178331
CUB007	4	0.156157647
CUB007	5	0.121410692
CUB007	6	0.215119647
CUB007	7	0.230956098
CUB007	8	0.167591286
CUB008	0.5	0.094318417
CUB008	1	0.214911183
CUB008	2	0.040159473
CUB008	3	0.092526606
CUB008	4	0.094453368
CUB008	5	0.062752741
CUB008	6	0.065828609
CUB008	7	0.093208386
CUB008	8	0.038635522
CUB009	0.5	0.323941172
CUB009	1	0.414071046
CUB009	2	0.137309831
CUB009	3	0.082032402
CUB009	4	0.10133523
CUB009	5	0.139389403
CUB009	7	0.259630673
CUB009	8	0.194218925
CUB010	0.5	0.164160181
CUB010	1	0.149973633
CUB010	2	0.098402279
CUB010	3	0.18821542
CUB010	4	0.17188923
CUB010	5	0.285546591
CUB010	6	0.130100829
CUB010	7	0.103582742
CUB010	8	0.196898634
CUB011	1	0.100753575
CUB011	2	0.259730505
CUB011	3	0.128197887
CUB011	5	0.343083485
CUB011	6	0.446294146
CUB011	7	0.293841284
CUB011	8	0.275646978
CUB012	0.5	0.521066899
CUB012	1	0.581949091
CUB012	2	0.37130682
CUB012	3	0.253216573
CUB012	5	0.144585134
CUB012	6	0.194065272
CUB012	7	0.210328744
CUB012	8	0.209300309
CUB015	1	0.185096426
CUB015	2	0.188123524
CUB015	3	0.217716373
